,0.2
2017-01-12,1.3350510844090835
2017-01-13,1.341472171789007
2017-01-17,1.341472171789007
2017-01-18,1.3338695779612089
2017-01-19,1.332928576495275
2017-01-20,1.3404248356249495
2017-01-23,1.345272665048548
2017-01-24,1.3561735853546506
2017-01-25,1.362420834116361
2017-01-26,1.3634914988190066
2017-01-27,1.3667186976327792
2017-01-30,1.359080349622057
2017-01-31,1.3580247532340008
2017-02-01,1.3632782339041518
2017-02-02,1.3579004104962458
2017-02-03,1.367355809873009
2017-02-06,1.367355809873009
2017-02-07,1.3651636562700062
2017-02-08,1.3651636562700062
2017-02-09,1.377105445708551
2017-02-10,1.3839766579116706
2017-02-13,1.3910588412357385
2017-02-14,1.3971466260989145
2017-02-15,1.3700163515697454
2017-02-16,1.367888170829443
2017-02-17,1.3647254236136523
2017-02-21,1.3636856328147087
2017-02-22,1.362650577305931
2017-02-23,1.3564684196773218
2017-02-24,1.3604801562235025
2017-02-27,1.3615011544645708
2017-02-28,1.3563730898526514
2017-03-01,1.3613874081145836
2017-03-02,1.3613874081145836
2017-03-03,1.3706171532543436
2017-03-06,1.3738232752502602
2017-03-07,1.3749071594910889
2017-03-08,1.3738181241172345
2017-03-09,1.3716503637635977
2017-03-10,1.3770188583380147
2017-03-13,1.3858141883713113
2017-03-14,1.3743847930033006
2017-03-15,1.3820051443308436
2017-03-16,1.3898862327302866
2017-03-17,1.3933828018692307
2017-03-20,1.3969328217466046
2017-03-21,1.383714532680615
2017-03-22,1.3708718433834561
2017-03-23,1.3639805666124083
2017-03-24,1.3706690877796845
2017-03-27,1.3775593453125088
2017-03-28,1.3907514421736968
2017-03-29,1.3907514421736968
2017-03-30,1.392903475353076
2017-03-31,1.3831287141225281
2017-04-03,1.3789610946449462
2017-04-04,1.384077833400586
2017-04-05,1.3704725314465538
2017-04-06,1.3763988991501064
2017-04-07,1.3672736025811554
2017-04-10,1.3477759397992495
2017-04-11,1.3307325169332358
2017-04-12,1.3257344605316088
2017-04-13,1.3249198771457216
2017-04-17,1.3452096149274326
2017-04-18,1.3514560277330658
2017-04-19,1.3579723861689945
2017-04-20,1.3626309535314953
2017-04-21,1.3626309535314953
